map_set	grid_type	method	step	local_step	model_key	image_path	exists
target_ile_Latn	method_by_steps	random	40000	40000	v52_random_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-40000/family_similarity/family_point_map_target_ile_Latn_v52_random_conv5way_step40000.png	yes
target_ile_Latn	method_by_steps	random	50000	43000	v52_random_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-43000/family_similarity/family_point_map_target_ile_Latn_v52_random_conv5way_step43000.png	yes
target_ile_Latn	method_by_steps	mean	10000	10000	v52_mean_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-10000/family_similarity/family_point_map_target_ile_Latn_v52_mean_conv5way_step10000.png	yes
target_ile_Latn	method_by_steps	mean	20000	20000	v52_mean_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-20000/family_similarity/family_point_map_target_ile_Latn_v52_mean_conv5way_step20000.png	yes
target_ile_Latn	method_by_steps	mean	30000	30000	v52_mean_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-30000/family_similarity/family_point_map_target_ile_Latn_v52_mean_conv5way_step30000.png	yes
target_ile_Latn	method_by_steps	mean	40000	40000	v52_mean_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-40000/family_similarity/family_point_map_target_ile_Latn_v52_mean_conv5way_step40000.png	yes
target_ile_Latn	method_by_steps	mean	50000	43000	v52_mean_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-43000/family_similarity/family_point_map_target_ile_Latn_v52_mean_conv5way_step43000.png	yes
target_ile_Latn	method_by_steps	fvt	10000	10000	v52_fvt_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-10000/family_similarity/family_point_map_target_ile_Latn_v52_fvt_conv5way_step10000.png	yes
target_ile_Latn	method_by_steps	fvt	20000	20000	v52_fvt_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-20000/family_similarity/family_point_map_target_ile_Latn_v52_fvt_conv5way_step20000.png	yes
target_ile_Latn	method_by_steps	fvt	30000	30000	v52_fvt_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-30000/family_similarity/family_point_map_target_ile_Latn_v52_fvt_conv5way_step30000.png	yes
target_ile_Latn	method_by_steps	fvt	40000	40000	v52_fvt_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-40000/family_similarity/family_point_map_target_ile_Latn_v52_fvt_conv5way_step40000.png	yes
target_ile_Latn	method_by_steps	fvt	50000	43000	v52_fvt_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-43000/family_similarity/family_point_map_target_ile_Latn_v52_fvt_conv5way_step43000.png	yes
target_ile_Latn	method_by_steps	weighted_fvt	10000	10000	v52_weighted_fvt_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-10000/family_similarity/family_point_map_target_ile_Latn_v52_weighted_fvt_conv5way_step10000.png	yes
target_ile_Latn	method_by_steps	weighted_fvt	20000	20000	v52_weighted_fvt_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-20000/family_similarity/family_point_map_target_ile_Latn_v52_weighted_fvt_conv5way_step20000.png	yes
target_ile_Latn	method_by_steps	weighted_fvt	30000	30000	v52_weighted_fvt_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-30000/family_similarity/family_point_map_target_ile_Latn_v52_weighted_fvt_conv5way_step30000.png	yes
target_ile_Latn	method_by_steps	weighted_fvt	40000	40000	v52_weighted_fvt_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-40000/family_similarity/family_point_map_target_ile_Latn_v52_weighted_fvt_conv5way_step40000.png	yes
target_ile_Latn	method_by_steps	weighted_fvt	50000	50000	v52_weighted_fvt_conv5way_step50000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-50000/family_similarity/family_point_map_target_ile_Latn_v52_weighted_fvt_conv5way_step50000.png	yes
target_ile_Latn	method_by_steps	family_mean	10000	10000	v52_family_mean_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/family_similarity/family_point_map_target_ile_Latn_v52_family_mean_conv5way_step10000.png	yes
target_ile_Latn	method_by_steps	family_mean	20000	20000	v52_family_mean_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_point_map_target_ile_Latn_v52_family_mean_conv5way_step20000.png	yes
target_ile_Latn	method_by_steps	family_mean	30000	30000	v52_family_mean_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/family_similarity/family_point_map_target_ile_Latn_v52_family_mean_conv5way_step30000.png	yes
target_ile_Latn	method_by_steps	family_mean	40000	40000	v52_family_mean_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/family_similarity/family_point_map_target_ile_Latn_v52_family_mean_conv5way_step40000.png	yes
target_ile_Latn	method_by_steps	family_mean	50000	50000	v52_family_mean_conv5way_step50000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/family_similarity/family_point_map_target_ile_Latn_v52_family_mean_conv5way_step50000.png	yes
target_lij_Latn	step_by_methods	random	10000	10000	v52_random_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-10000/family_similarity/family_point_map_target_lij_Latn_v52_random_conv5way_step10000.png	yes
target_lij_Latn	step_by_methods	mean	10000	10000	v52_mean_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-10000/family_similarity/family_point_map_target_lij_Latn_v52_mean_conv5way_step10000.png	yes
target_lij_Latn	step_by_methods	fvt	10000	10000	v52_fvt_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-10000/family_similarity/family_point_map_target_lij_Latn_v52_fvt_conv5way_step10000.png	yes
target_lij_Latn	step_by_methods	weighted_fvt	10000	10000	v52_weighted_fvt_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-10000/family_similarity/family_point_map_target_lij_Latn_v52_weighted_fvt_conv5way_step10000.png	yes
target_lij_Latn	step_by_methods	family_mean	10000	10000	v52_family_mean_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/family_similarity/family_point_map_target_lij_Latn_v52_family_mean_conv5way_step10000.png	yes
target_lij_Latn	step_by_methods	random	20000	20000	v52_random_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-20000/family_similarity/family_point_map_target_lij_Latn_v52_random_conv5way_step20000.png	yes
target_lij_Latn	step_by_methods	mean	20000	20000	v52_mean_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-20000/family_similarity/family_point_map_target_lij_Latn_v52_mean_conv5way_step20000.png	yes
target_lij_Latn	step_by_methods	fvt	20000	20000	v52_fvt_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-20000/family_similarity/family_point_map_target_lij_Latn_v52_fvt_conv5way_step20000.png	yes
target_lij_Latn	step_by_methods	weighted_fvt	20000	20000	v52_weighted_fvt_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-20000/family_similarity/family_point_map_target_lij_Latn_v52_weighted_fvt_conv5way_step20000.png	yes
target_lij_Latn	step_by_methods	family_mean	20000	20000	v52_family_mean_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_point_map_target_lij_Latn_v52_family_mean_conv5way_step20000.png	yes
target_lij_Latn	step_by_methods	random	30000	30000	v52_random_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-30000/family_similarity/family_point_map_target_lij_Latn_v52_random_conv5way_step30000.png	yes
target_lij_Latn	step_by_methods	mean	30000	30000	v52_mean_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-30000/family_similarity/family_point_map_target_lij_Latn_v52_mean_conv5way_step30000.png	yes
target_lij_Latn	step_by_methods	fvt	30000	30000	v52_fvt_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-30000/family_similarity/family_point_map_target_lij_Latn_v52_fvt_conv5way_step30000.png	yes
target_lij_Latn	step_by_methods	weighted_fvt	30000	30000	v52_weighted_fvt_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-30000/family_similarity/family_point_map_target_lij_Latn_v52_weighted_fvt_conv5way_step30000.png	yes
target_lij_Latn	step_by_methods	family_mean	30000	30000	v52_family_mean_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/family_similarity/family_point_map_target_lij_Latn_v52_family_mean_conv5way_step30000.png	yes
target_lij_Latn	step_by_methods	random	40000	40000	v52_random_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-40000/family_similarity/family_point_map_target_lij_Latn_v52_random_conv5way_step40000.png	yes
target_lij_Latn	step_by_methods	mean	40000	40000	v52_mean_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-40000/family_similarity/family_point_map_target_lij_Latn_v52_mean_conv5way_step40000.png	yes
target_lij_Latn	step_by_methods	fvt	40000	40000	v52_fvt_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-40000/family_similarity/family_point_map_target_lij_Latn_v52_fvt_conv5way_step40000.png	yes
target_lij_Latn	step_by_methods	weighted_fvt	40000	40000	v52_weighted_fvt_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-40000/family_similarity/family_point_map_target_lij_Latn_v52_weighted_fvt_conv5way_step40000.png	yes
target_lij_Latn	step_by_methods	family_mean	40000	40000	v52_family_mean_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/family_similarity/family_point_map_target_lij_Latn_v52_family_mean_conv5way_step40000.png	yes
target_lij_Latn	step_by_methods	random	50000	43000	v52_random_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-43000/family_similarity/family_point_map_target_lij_Latn_v52_random_conv5way_step43000.png	yes
target_lij_Latn	step_by_methods	mean	50000	43000	v52_mean_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-43000/family_similarity/family_point_map_target_lij_Latn_v52_mean_conv5way_step43000.png	yes
target_lij_Latn	step_by_methods	fvt	50000	43000	v52_fvt_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-43000/family_similarity/family_point_map_target_lij_Latn_v52_fvt_conv5way_step43000.png	yes
target_lij_Latn	step_by_methods	weighted_fvt	50000	50000	v52_weighted_fvt_conv5way_step50000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-50000/family_similarity/family_point_map_target_lij_Latn_v52_weighted_fvt_conv5way_step50000.png	yes
target_lij_Latn	step_by_methods	family_mean	50000	50000	v52_family_mean_conv5way_step50000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/family_similarity/family_point_map_target_lij_Latn_v52_family_mean_conv5way_step50000.png	yes
target_lij_Latn	method_by_steps	random	10000	10000	v52_random_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-10000/family_similarity/family_point_map_target_lij_Latn_v52_random_conv5way_step10000.png	yes
target_lij_Latn	method_by_steps	random	20000	20000	v52_random_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-20000/family_similarity/family_point_map_target_lij_Latn_v52_random_conv5way_step20000.png	yes
target_lij_Latn	method_by_steps	random	30000	30000	v52_random_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-30000/family_similarity/family_point_map_target_lij_Latn_v52_random_conv5way_step30000.png	yes
target_lij_Latn	method_by_steps	random	40000	40000	v52_random_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-40000/family_similarity/family_point_map_target_lij_Latn_v52_random_conv5way_step40000.png	yes
target_lij_Latn	method_by_steps	random	50000	43000	v52_random_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-43000/family_similarity/family_point_map_target_lij_Latn_v52_random_conv5way_step43000.png	yes
target_lij_Latn	method_by_steps	mean	10000	10000	v52_mean_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-10000/family_similarity/family_point_map_target_lij_Latn_v52_mean_conv5way_step10000.png	yes
target_lij_Latn	method_by_steps	mean	20000	20000	v52_mean_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-20000/family_similarity/family_point_map_target_lij_Latn_v52_mean_conv5way_step20000.png	yes
target_lij_Latn	method_by_steps	mean	30000	30000	v52_mean_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-30000/family_similarity/family_point_map_target_lij_Latn_v52_mean_conv5way_step30000.png	yes
target_lij_Latn	method_by_steps	mean	40000	40000	v52_mean_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-40000/family_similarity/family_point_map_target_lij_Latn_v52_mean_conv5way_step40000.png	yes
target_lij_Latn	method_by_steps	mean	50000	43000	v52_mean_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-43000/family_similarity/family_point_map_target_lij_Latn_v52_mean_conv5way_step43000.png	yes
target_lij_Latn	method_by_steps	fvt	10000	10000	v52_fvt_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-10000/family_similarity/family_point_map_target_lij_Latn_v52_fvt_conv5way_step10000.png	yes
target_lij_Latn	method_by_steps	fvt	20000	20000	v52_fvt_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-20000/family_similarity/family_point_map_target_lij_Latn_v52_fvt_conv5way_step20000.png	yes
target_lij_Latn	method_by_steps	fvt	30000	30000	v52_fvt_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-30000/family_similarity/family_point_map_target_lij_Latn_v52_fvt_conv5way_step30000.png	yes
target_lij_Latn	method_by_steps	fvt	40000	40000	v52_fvt_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-40000/family_similarity/family_point_map_target_lij_Latn_v52_fvt_conv5way_step40000.png	yes
target_lij_Latn	method_by_steps	fvt	50000	43000	v52_fvt_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-43000/family_similarity/family_point_map_target_lij_Latn_v52_fvt_conv5way_step43000.png	yes
target_lij_Latn	method_by_steps	weighted_fvt	10000	10000	v52_weighted_fvt_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-10000/family_similarity/family_point_map_target_lij_Latn_v52_weighted_fvt_conv5way_step10000.png	yes
target_lij_Latn	method_by_steps	weighted_fvt	20000	20000	v52_weighted_fvt_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-20000/family_similarity/family_point_map_target_lij_Latn_v52_weighted_fvt_conv5way_step20000.png	yes
target_lij_Latn	method_by_steps	weighted_fvt	30000	30000	v52_weighted_fvt_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-30000/family_similarity/family_point_map_target_lij_Latn_v52_weighted_fvt_conv5way_step30000.png	yes
target_lij_Latn	method_by_steps	weighted_fvt	40000	40000	v52_weighted_fvt_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-40000/family_similarity/family_point_map_target_lij_Latn_v52_weighted_fvt_conv5way_step40000.png	yes
target_lij_Latn	method_by_steps	weighted_fvt	50000	50000	v52_weighted_fvt_conv5way_step50000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-50000/family_similarity/family_point_map_target_lij_Latn_v52_weighted_fvt_conv5way_step50000.png	yes
target_lij_Latn	method_by_steps	family_mean	10000	10000	v52_family_mean_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/family_similarity/family_point_map_target_lij_Latn_v52_family_mean_conv5way_step10000.png	yes
target_lij_Latn	method_by_steps	family_mean	20000	20000	v52_family_mean_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_point_map_target_lij_Latn_v52_family_mean_conv5way_step20000.png	yes
target_lij_Latn	method_by_steps	family_mean	30000	30000	v52_family_mean_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/family_similarity/family_point_map_target_lij_Latn_v52_family_mean_conv5way_step30000.png	yes
target_lij_Latn	method_by_steps	family_mean	40000	40000	v52_family_mean_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/family_similarity/family_point_map_target_lij_Latn_v52_family_mean_conv5way_step40000.png	yes
target_lij_Latn	method_by_steps	family_mean	50000	50000	v52_family_mean_conv5way_step50000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/family_similarity/family_point_map_target_lij_Latn_v52_family_mean_conv5way_step50000.png	yes
target_fur_Latn	step_by_methods	random	10000	10000	v52_random_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-10000/family_similarity/family_point_map_target_fur_Latn_v52_random_conv5way_step10000.png	yes
target_fur_Latn	step_by_methods	mean	10000	10000	v52_mean_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-10000/family_similarity/family_point_map_target_fur_Latn_v52_mean_conv5way_step10000.png	yes
target_fur_Latn	step_by_methods	fvt	10000	10000	v52_fvt_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-10000/family_similarity/family_point_map_target_fur_Latn_v52_fvt_conv5way_step10000.png	yes
target_fur_Latn	step_by_methods	weighted_fvt	10000	10000	v52_weighted_fvt_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-10000/family_similarity/family_point_map_target_fur_Latn_v52_weighted_fvt_conv5way_step10000.png	yes
target_fur_Latn	step_by_methods	family_mean	10000	10000	v52_family_mean_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-10000/family_similarity/family_point_map_target_fur_Latn_v52_family_mean_conv5way_step10000.png	yes
target_fur_Latn	step_by_methods	random	20000	20000	v52_random_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-20000/family_similarity/family_point_map_target_fur_Latn_v52_random_conv5way_step20000.png	yes
target_fur_Latn	step_by_methods	mean	20000	20000	v52_mean_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-20000/family_similarity/family_point_map_target_fur_Latn_v52_mean_conv5way_step20000.png	yes
target_fur_Latn	step_by_methods	fvt	20000	20000	v52_fvt_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-20000/family_similarity/family_point_map_target_fur_Latn_v52_fvt_conv5way_step20000.png	yes
target_fur_Latn	step_by_methods	weighted_fvt	20000	20000	v52_weighted_fvt_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-20000/family_similarity/family_point_map_target_fur_Latn_v52_weighted_fvt_conv5way_step20000.png	yes
target_fur_Latn	step_by_methods	family_mean	20000	20000	v52_family_mean_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_point_map_target_fur_Latn_v52_family_mean_conv5way_step20000.png	yes
target_fur_Latn	step_by_methods	random	30000	30000	v52_random_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-30000/family_similarity/family_point_map_target_fur_Latn_v52_random_conv5way_step30000.png	yes
target_fur_Latn	step_by_methods	mean	30000	30000	v52_mean_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-30000/family_similarity/family_point_map_target_fur_Latn_v52_mean_conv5way_step30000.png	yes
target_fur_Latn	step_by_methods	fvt	30000	30000	v52_fvt_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-30000/family_similarity/family_point_map_target_fur_Latn_v52_fvt_conv5way_step30000.png	yes
target_fur_Latn	step_by_methods	weighted_fvt	30000	30000	v52_weighted_fvt_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-30000/family_similarity/family_point_map_target_fur_Latn_v52_weighted_fvt_conv5way_step30000.png	yes
target_fur_Latn	step_by_methods	family_mean	30000	30000	v52_family_mean_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/family_similarity/family_point_map_target_fur_Latn_v52_family_mean_conv5way_step30000.png	yes
target_fur_Latn	step_by_methods	random	40000	40000	v52_random_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-40000/family_similarity/family_point_map_target_fur_Latn_v52_random_conv5way_step40000.png	yes
target_fur_Latn	step_by_methods	mean	40000	40000	v52_mean_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-40000/family_similarity/family_point_map_target_fur_Latn_v52_mean_conv5way_step40000.png	yes
target_fur_Latn	step_by_methods	fvt	40000	40000	v52_fvt_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-40000/family_similarity/family_point_map_target_fur_Latn_v52_fvt_conv5way_step40000.png	yes
target_fur_Latn	step_by_methods	weighted_fvt	40000	40000	v52_weighted_fvt_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-40000/family_similarity/family_point_map_target_fur_Latn_v52_weighted_fvt_conv5way_step40000.png	yes
target_fur_Latn	step_by_methods	family_mean	40000	40000	v52_family_mean_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/family_similarity/family_point_map_target_fur_Latn_v52_family_mean_conv5way_step40000.png	yes
target_fur_Latn	step_by_methods	random	50000	43000	v52_random_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-43000/family_similarity/family_point_map_target_fur_Latn_v52_random_conv5way_step43000.png	yes
target_fur_Latn	step_by_methods	mean	50000	43000	v52_mean_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-43000/family_similarity/family_point_map_target_fur_Latn_v52_mean_conv5way_step43000.png	yes
target_fur_Latn	step_by_methods	fvt	50000	43000	v52_fvt_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-43000/family_similarity/family_point_map_target_fur_Latn_v52_fvt_conv5way_step43000.png	yes
target_fur_Latn	step_by_methods	weighted_fvt	50000	50000	v52_weighted_fvt_conv5way_step50000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-50000/family_similarity/family_point_map_target_fur_Latn_v52_weighted_fvt_conv5way_step50000.png	yes
target_fur_Latn	step_by_methods	family_mean	50000	50000	v52_family_mean_conv5way_step50000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/family_similarity/family_point_map_target_fur_Latn_v52_family_mean_conv5way_step50000.png	yes
target_fur_Latn	method_by_steps	random	10000	10000	v52_random_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-10000/family_similarity/family_point_map_target_fur_Latn_v52_random_conv5way_step10000.png	yes
target_fur_Latn	method_by_steps	random	20000	20000	v52_random_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-20000/family_similarity/family_point_map_target_fur_Latn_v52_random_conv5way_step20000.png	yes
target_fur_Latn	method_by_steps	random	30000	30000	v52_random_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-30000/family_similarity/family_point_map_target_fur_Latn_v52_random_conv5way_step30000.png	yes
target_fur_Latn	method_by_steps	random	40000	40000	v52_random_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-40000/family_similarity/family_point_map_target_fur_Latn_v52_random_conv5way_step40000.png	yes
target_fur_Latn	method_by_steps	random	50000	43000	v52_random_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/random/checkpoint-43000/family_similarity/family_point_map_target_fur_Latn_v52_random_conv5way_step43000.png	yes
target_fur_Latn	method_by_steps	mean	10000	10000	v52_mean_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-10000/family_similarity/family_point_map_target_fur_Latn_v52_mean_conv5way_step10000.png	yes
target_fur_Latn	method_by_steps	mean	20000	20000	v52_mean_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-20000/family_similarity/family_point_map_target_fur_Latn_v52_mean_conv5way_step20000.png	yes
target_fur_Latn	method_by_steps	mean	30000	30000	v52_mean_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-30000/family_similarity/family_point_map_target_fur_Latn_v52_mean_conv5way_step30000.png	yes
target_fur_Latn	method_by_steps	mean	40000	40000	v52_mean_conv5way_step40000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-40000/family_similarity/family_point_map_target_fur_Latn_v52_mean_conv5way_step40000.png	yes
target_fur_Latn	method_by_steps	mean	50000	43000	v52_mean_conv5way_step43000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-43000/family_similarity/family_point_map_target_fur_Latn_v52_mean_conv5way_step43000.png	yes
target_fur_Latn	method_by_steps	fvt	10000	10000	v52_fvt_conv5way_step10000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-10000/family_similarity/family_point_map_target_fur_Latn_v52_fvt_conv5way_step10000.png	yes
target_fur_Latn	method_by_steps	fvt	20000	20000	v52_fvt_conv5way_step20000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-20000/family_similarity/family_point_map_target_fur_Latn_v52_fvt_conv5way_step20000.png	yes
target_fur_Latn	method_by_steps	fvt	30000	30000	v52_fvt_conv5way_step30000	docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-30000/family_similarity/family_point_map_target_fur_Latn_v52_fvt_conv5way_step30000.png	yes
